出席停止	しゅっせきていし	0	しゅっせきていし	https://kotobank.jp/word/%E5%87%BA%E5%B8%AD%E5%81%9C%E6%AD%A2-190115
副校長	ふくこうちょう	0	ふくこうちょう	https://kotobank.jp/word/%E5%89%AF%E6%A0%A1%E9%95%B7-182860
北極星	ほっきょくせい	0	ほっきょくせい	https://kotobank.jp/word/%E5%8C%97%E6%A5%B5%E6%98%9F-133449
十分	じゅうぶん	0	じゅうぶん	https://kotobank.jp/word/%E5%8D%81%E5%88%86-527600
十日	とおか	0	とおか	https://kotobank.jp/word/%E5%8D%81%E6%97%A5-581796
千人	せんにん	0	せんにん	https://kotobank.jp/word/%E5%8D%83%E4%BA%BA-550985
卒業式	そつぎょうしき	0	そつぎょうしき	https://kotobank.jp/word/%E5%8D%92%E6%A5%AD%E5%BC%8F-170819
商店街	しょうてんがい	0	しょうてんがい	https://kotobank.jp/word/%E5%95%86%E5%BA%97%E8%A1%97-79565
四日	よっか	1	よっか,よか	https://kotobank.jp/word/%E5%9B%9B%E6%97%A5-653588
四時	しじ	1	しじ,しいじ	https://kotobank.jp/word/%E5%9B%9B%E6%99%82-515807
図書室	としょしつ	0	としょしつ	https://kotobank.jp/word/%E5%9B%B3%E6%9B%B8%E5%AE%A4-583590
外国語	がいこくご	0	がいこくご	https://kotobank.jp/word/%E5%A4%96%E5%9B%BD%E8%AA%9E-457276
始業式	しぎょうしき	0	しぎょうしき	https://kotobank.jp/word/%E5%A7%8B%E6%A5%AD%E5%BC%8F-518043
委員会	いいんかい	0	いいんかい	https://kotobank.jp/word/%E5%A7%94%E5%93%A1%E4%BC%9A-430588
学童保育	がくどうほいく	0	がくどうほいく	https://kotobank.jp/word/%E5%AD%A6%E7%AB%A5%E4%BF%9D%E8%82%B2-227913
学級会	がっきゅうかい	0	がっきゅうかい	https://kotobank.jp/word/%E5%AD%A6%E7%B4%9A%E4%BC%9A-464176
学芸会	がくげいかい	0	がくげいかい	https://kotobank.jp/word/%E5%AD%A6%E8%8A%B8%E4%BC%9A-43582
家庭科	かていか	0	かていか	https://kotobank.jp/word/%E5%AE%B6%E5%BA%AD%E7%A7%91-464694
家庭訪問	かていほうもん	0	かていほうもん	https://kotobank.jp/word/%E5%AE%B6%E5%BA%AD%E8%A8%AA%E5%95%8F-464714
感染症	かんせんしょう	0	かんせんしょう	https://kotobank.jp/word/%E6%84%9F%E6%9F%93%E7%97%87-14199
救急車	きゅうきゅうしゃ	0	きゅうきゅうしゃ	https://kotobank.jp/word/%E6%95%91%E6%80%A5%E8%BB%8A-51976
日本	にほん	1	にほん,にっぽん	https://kotobank.jp/word/%E6%97%A5%E6%9C%AC-109930
朝日	あさひ	1	あさひ,ちょうじつ	https://kotobank.jp/word/%E6%9C%9D%E6%97%A5-25065
東西南北	とうざいなんぼく	0	とうざいなんぼく	https://kotobank.jp/word/%E6%9D%B1%E8%A5%BF%E5%8D%97%E5%8C%97-580247
林間学校	りんかんがっこう	0	りんかんがっこう	https://kotobank.jp/word/%E6%9E%97%E9%96%93%E5%AD%A6%E6%A0%A1-150276
横断歩道	おうだんほどう	0	おうだんほどう	https://kotobank.jp/word/%E6%A8%AA%E6%96%AD%E6%AD%A9%E9%81%93-449163
毎日	まいにち	0	まいにち	https://kotobank.jp/word/%E6%AF%8E%E6%97%A5-633034
河原	かわら	0	かわら	https://kotobank.jp/word/%E6%B2%B3%E5%8E%9F-48339
消費税	しょうひぜい	0	しょうひぜい	https://kotobank.jp/word/%E6%B6%88%E8%B2%BB%E7%A8%8E-4556
理科室	りかしつ	0	りかしつ	https://kotobank.jp/word/%E7%90%86%E7%A7%91%E5%AE%A4-2877104
生徒会	せいとかい	0	せいとかい	https://kotobank.jp/word/%E7%94%9F%E5%BE%92%E4%BC%9A-86301
生活科	せいかつか	0	せいかつか	https://kotobank.jp/word/%E7%94%9F%E6%B4%BB%E7%A7%91-155071
町内会	ちょうないかい	0	ちょうないかい	https://kotobank.jp/word/%E7%94%BA%E5%86%85%E4%BC%9A-98123
百人	ひゃくにん	0	ひゃくにん	https://kotobank.jp/word/%E7%99%BE%E4%BA%BA-612755
社会	しゃかい	0	しゃかい	https://kotobank.jp/word/%E7%A4%BE%E4%BC%9A-75542
社会科見学	しゃかいかけんがく	0	しゃかいかけんがく	https://kotobank.jp/word/%E7%A4%BE%E4%BC%9A%E7%A7%91%E8%A6%8B%E5%AD%A6-1736795
終業式	しゅうぎょうしき	0	しゅうぎょうしき	https://kotobank.jp/word/%E7%B5%82%E6%A5%AD%E5%BC%8F-1691313
自治会	じちかい	0	じちかい	https://kotobank.jp/word/%E8%87%AA%E6%B2%BB%E4%BC%9A-73805
自由研究	じゆうけんきゅう	0	じゆうけんきゅう	https://kotobank.jp/word/%E8%87%AA%E7%94%B1%E7%A0%94%E7%A9%B6-526624
視力検査	しりょくけんさ	0	しりょくけんさ	https://kotobank.jp/word/%E8%A6%96%E5%8A%9B%E6%A4%9C%E6%9F%BB-898244
誕生日	たんじょうび	0	たんじょうび	https://kotobank.jp/word/%E8%AA%95%E7%94%9F%E6%97%A5-95124
読書感想文	どくしょかんそうぶん	0	どくしょかんそうぶん	https://kotobank.jp/word/%E8%AA%AD%E6%9B%B8%E6%84%9F%E6%83%B3%E6%96%87-682095
